Number_of_R: 45
Number_of_Wannier_functions: 16
Hamiltonian:  
============================================================
index of R: 0.  R = [-1 -1 -2]
R = [-1 -1 -2], i = 9, j=9 :: H(i,j,R)= -0.0107-0.0028j 
R = [-1 -1 -2], i = 9, j=10 :: H(i,j,R)= 0.0176-0.0002j 
R = [-1 -1 -2], i = 9, j=11 :: H(i,j,R)= -0.0120+0.0019j 
R = [-1 -1 -2], i = 9, j=12 :: H(i,j,R)= -0.0014-0.0035j 
R = [-1 -1 -2], i = 9, j=13 :: H(i,j,R)= -0.0004+0.0046j 
R = [-1 -1 -2], i = 9, j=14 :: H(i,j,R)= -0.0010-0.0030j 
R = [-1 -1 -2], i = 9, j=15 :: H(i,j,R)= 0.0024+0.0043j 
R = [-1 -1 -2], i = 10, j=0 :: H(i,j,R)= -0.0431-0.0053j 
R = [-1 -1 -2], i = 10, j=1 :: H(i,j,R)= -0.0339-0.0060j 
R = [-1 -1 -2], i = 10, j=2 :: H(i,j,R)= -0.0022+0.0005j 
R = [-1 -1 -2], i = 10, j=3 :: H(i,j,R)= -0.0009+0.0027j 
R = [-1 -1 -2], i = 10, j=4 :: H(i,j,R)= -0.0235+0.0005j 
R = [-1 -1 -2], i = 10, j=5 :: H(i,j,R)= -0.0276-0.0039j 
R = [-1 -1 -2], i = 10, j=6 :: H(i,j,R)= -0.0106+0.0000j 
R = [-1 -1 -2], i = 10, j=7 :: H(i,j,R)= 0.0311-0.0004j 
R = [-1 -1 -2], i = 10, j=8 :: H(i,j,R)= 0.0256-0.0035j 
R = [-1 -1 -2], i = 10, j=9 :: H(i,j,R)= -0.0107+0.0015j 
R = [-1 -1 -2], i = 10, j=10 :: H(i,j,R)= -0.0337-0.0018j 
R = [-1 -1 -2], i = 10, j=11 :: H(i,j,R)= 0.0471+0.0016j 
R = [-1 -1 -2], i = 10, j=12 :: H(i,j,R)= 0.0140-0.0044j 
R = [-1 -1 -2], i = 10, j=13 :: H(i,j,R)= 0.0251+0.0092j 
R = [-1 -1 -2], i = 10, j=14 :: H(i,j,R)= -0.0132-0.0104j 
R = [-1 -1 -2], i = 10, j=15 :: H(i,j,R)= 0.0018+0.0036j 
R = [-1 -1 -2], i = 11, j=0 :: H(i,j,R)= 0.0347+0.0039j 
R = [-1 -1 -2], i = 11, j=1 :: H(i,j,R)= 0.0284+0.0047j 
R = [-1 -1 -2], i = 11, j=2 :: H(i,j,R)= 0.0101-0.0021j 
R = [-1 -1 -2], i = 11, j=3 :: H(i,j,R)= -0.0144+0.0007j 
R = [-1 -1 -2], i = 11, j=4 :: H(i,j,R)= 0.0242+0.0024j 
R = [-1 -1 -2], i = 11, j=5 :: H(i,j,R)= 0.0312+0.0054j 
R = [-1 -1 -2], i = 11, j=6 :: H(i,j,R)= 0.0147+0.0000j 
R = [-1 -1 -2], i = 11, j=7 :: H(i,j,R)= -0.0346+0.0018j 
R = [-1 -1 -2], i = 11, j=8 :: H(i,j,R)= -0.0288+0.0036j 
R = [-1 -1 -2], i = 11, j=9 :: H(i,j,R)= 0.0081-0.0021j 
R = [-1 -1 -2], i = 11, j=10 :: H(i,j,R)= 0.0508+0.0018j 
R = [-1 -1 -2], i = 11, j=11 :: H(i,j,R)= -0.0340-0.0023j 
R = [-1 -1 -2], i = 11, j=12 :: H(i,j,R)= -0.0118+0.0058j 
R = [-1 -1 -2], i = 11, j=13 :: H(i,j,R)= -0.0132-0.0104j 
R = [-1 -1 -2], i = 11, j=14 :: H(i,j,R)= 0.0223+0.0107j 
R = [-1 -1 -2], i = 11, j=15 :: H(i,j,R)= -0.0044-0.0051j 
R = [-1 -1 -2], i = 12, j=0 :: H(i,j,R)= 0.0034+0.0009j 
R = [-1 -1 -2], i = 12, j=1 :: H(i,j,R)= 0.0126+0.0017j 
R = [-1 -1 -2], i = 12, j=2 :: H(i,j,R)= 0.0087+0.0054j 
R = [-1 -1 -2], i = 12, j=3 :: H(i,j,R)= -0.0009-0.0039j 
R = [-1 -1 -2], i = 12, j=4 :: H(i,j,R)= -0.0117+0.0025j 
R = [-1 -1 -2], i = 12, j=5 :: H(i,j,R)= -0.0172+0.0018j 
R = [-1 -1 -2], i = 12, j=6 :: H(i,j,R)= -0.0062+0.0003j 
R = [-1 -1 -2], i = 12, j=7 :: H(i,j,R)= 0.0151-0.0009j 
R = [-1 -1 -2], i = 12, j=8 :: H(i,j,R)= 0.0135-0.0011j 
R = [-1 -1 -2], i = 12, j=9 :: H(i,j,R)= 0.0015+0.0013j 
R = [-1 -1 -2], i = 12, j=10 :: H(i,j,R)= 0.0086+0.0012j 
R = [-1 -1 -2], i = 12, j=11 :: H(i,j,R)= -0.0122-0.0018j 
R = [-1 -1 -2], i = 12, j=12 :: H(i,j,R)= 0.0031-0.0021j 
R = [-1 -1 -2], i = 12, j=13 :: H(i,j,R)= 0.0018+0.0036j 
R = [-1 -1 -2], i = 12, j=14 :: H(i,j,R)= -0.0044-0.0051j 
R = [-1 -1 -2], i = 12, j=15 :: H(i,j,R)= 0.0171+0.0013j 
R = [-1 -1 -2], i = 13, j=0 :: H(i,j,R)= -0.0085+0.0048j 
R = [-1 -1 -2], i = 13, j=1 :: H(i,j,R)= 0.0055+0.0059j 
R = [-1 -1 -2], i = 13, j=2 :: H(i,j,R)= -0.1113-0.0068j 
R = [-1 -1 -2], i = 13, j=3 :: H(i,j,R)= 0.0329+0.0017j 
R = [-1 -1 -2], i = 13, j=4 :: H(i,j,R)= -0.0174+0.0060j 
R = [-1 -1 -2], i = 13, j=5 :: H(i,j,R)= 0.0049+0.0058j 
R = [-1 -1 -2], i = 13, j=6 :: H(i,j,R)= 0.0277-0.0010j 
